Timestamp,Steps,PAM Score
2025-05-19 22:58:00,0,0.0
2025-05-19 22:59:00,0,0.0
2025-05-19 23:00:00,0,0.0
2025-05-19 23:01:00,0,0.0
2025-05-19 23:02:00,0,0.0
2025-05-19 23:03:00,0,0.0
2025-05-19 23:04:00,0,0.0
2025-05-19 23:05:00,0,0.0
2025-05-20 15:29:00,0,0.0625
2025-05-20 15:30:00,3,1.0625
2025-05-20 15:31:00,0,0.0625
2025-05-20 15:32:00,0,0.0
2025-05-20 15:33:00,0,0.375
2025-05-20 15:34:00,2,0.625
2025-05-20 15:35:00,0,0.4375
2025-05-20 15:36:00,0,0.0
2025-05-20 15:37:00,0,0.0
2025-05-20 15:38:00,0,0.0
2025-05-20 15:39:00,0,0.0
2025-05-20 15:46:00,0,0.0625
2025-05-20 15:47:00,5,0.8125
2025-05-20 15:48:00,0,1.4375
2025-05-20 15:49:00,0,1.4375
2025-05-20 15:50:00,0,1.0625
2025-05-20 15:51:00,0,1.0
2025-05-20 15:58:00,0,1.0
2025-05-20 15:59:00,20,1.5625
2025-05-20 16:00:00,0,1.375
2025-05-20 16:01:00,2,1.5
2025-05-20 16:02:00,0,0.875
2025-05-20 16:03:00,0,1.375
2025-05-20 16:04:00,4,1.125
2025-05-20 16:05:00,0,0.0
2025-05-20 16:06:00,0,0.0
2025-05-20 16:07:00,0,0.0
2025-05-20 16:08:00,0,0.0
2025-05-20 21:05:00,0,0.0
2025-05-20 21:06:00,5,0.875
2025-05-20 21:07:00,0,0.0
2025-05-20 21:08:00,0,0.0
2025-05-20 21:09:00,0,0.0
2025-05-20 21:10:00,0,0.0
2025-05-20 21:16:00,0,0.0625
2025-05-20 21:17:00,25,2.5
2025-05-20 21:18:00,76,9.5
2025-05-20 21:19:00,0,0.625
2025-05-20 21:20:00,0,0.0
2025-05-20 21:21:00,0,0.0
2025-05-20 21:22:00,20,0.875
2025-05-20 21:23:00,33,3.375
2025-05-20 21:25:00,40,7.1875
2025-05-20 21:26:00,35,4.75
2025-05-20 21:27:00,61,7.625
2025-05-20 21:28:00,36,4.3125
2025-05-20 21:29:00,35,5.8125
2025-05-20 21:30:00,22,4.75
2025-05-20 21:31:00,5,1.6875
2025-05-20 21:32:00,0,1.5
2025-05-20 21:33:00,0,1.375
2025-05-20 21:34:00,0,1.4375
2025-05-20 21:35:00,0,1.375
2025-05-20 21:36:00,0,0.75
2025-05-20 21:37:00,36,5.8125
2025-05-20 21:38:00,18,4.1875
2025-05-20 21:39:00,22,4.1875
2025-05-20 21:40:00,74,7.6875
2025-05-20 21:41:00,5,1.0
2025-05-20 21:42:00,4,1.0625
2025-05-20 21:43:00,2,1.5
2025-05-20 21:44:00,2,1.125
2025-05-20 21:45:00,2,1.25
2025-05-20 21:46:00,0,0.0
2025-05-20 21:47:00,4,0.5
2025-05-20 21:48:00,5,1.0
2025-05-20 21:49:00,0,0.0
2025-05-20 21:50:00,0,0.0
2025-05-20 21:51:00,0,0.0
2025-05-20 21:52:00,0,0.0
2025-05-20 22:02:00,0,0.0625
2025-05-20 22:03:00,1,0.25
2025-05-20 22:04:00,39,7.375
2025-05-20 22:05:00,27,6.25
2025-05-20 22:06:00,0,1.3125
2025-05-20 22:07:00,0,0.3125
2025-05-20 22:08:00,0,0.25
2025-05-20 22:09:00,0,0.1875
2025-05-20 22:10:00,19,2.875
2025-05-20 22:11:00,81,12.125
2025-05-20 22:12:00,0,0.1875
2025-05-20 22:13:00,2,0.5625
2025-05-20 22:14:00,0,0.0
2025-05-20 22:15:00,0,0.0
2025-05-20 22:16:00,0,0.0
2025-05-20 22:17:00,0,0.0
2025-05-20 22:18:00,0,0.0625
2025-05-20 22:19:00,52,7.8125
2025-05-20 22:20:00,37,3.875
2025-05-20 22:21:00,0,0.0
2025-05-20 22:22:00,89,3.25
2025-05-20 22:23:00,10,0.9375
2025-05-20 22:24:00,0,0.0
2025-05-20 22:25:00,0,0.0
2025-05-20 22:26:00,0,0.0
2025-05-20 22:27:00,0,0.0
2025-05-20 22:28:00,44,6.375
2025-05-20 22:29:00,18,3.0
